Metric,Value
design__lint_error__count,0
design__lint_timing_construct__count,0
design__lint_warning__count,2
design__inferred_latch__count,0
design__instance__count,19383
design__instance__area,100291
design__instance_unmapped__count,0
synthesis__check_error__count,0
design__max_slew_violation__count__corner:nom_tt_025C_1v80,153
design__max_fanout_violation__count__corner:nom_tt_025C_1v80,1
design__max_cap_violation__count__corner:nom_tt_025C_1v80,0
power__internal__total,0.0529705286026001
power__switching__total,0.06263469159603119
power__leakage__total,1.003122847009763E-7
power__total,0.11560531705617905
clock__skew__worst_hold__corner:nom_tt_025C_1v80,-0.3983975206942802
clock__skew__worst_setup__corner:nom_tt_025C_1v80,0.3006419920332614
timing__hold__ws__corner:nom_tt_025C_1v80,0.33242431970249575
timing__setup__ws__corner:nom_tt_025C_1v80,29.40820292745836
timing__hold__tns__corner:nom_tt_025C_1v80,0.0
timing__setup__tns__corner:nom_tt_025C_1v80,0.0
timing__hold__wns__corner:nom_tt_025C_1v80,0
timing__setup__wns__corner:nom_tt_025C_1v80,0.0
timing__hold_vio__count__corner:nom_tt_025C_1v80,0
timing__hold_r2r__ws__corner:nom_tt_025C_1v80,0.332424
timing__hold_r2r_vio__count__corner:nom_tt_025C_1v80,0
timing__setup_vio__count__corner:nom_tt_025C_1v80,0
timing__setup_r2r__ws__corner:nom_tt_025C_1v80,51.794136
timing__setup_r2r_vio__count__corner:nom_tt_025C_1v80,0
design__max_slew_violation__count__corner:nom_ss_100C_1v60,1183
design__max_fanout_violation__count__corner:nom_ss_100C_1v60,1
design__max_cap_violation__count__corner:nom_ss_100C_1v60,0
clock__skew__worst_hold__corner:nom_ss_100C_1v60,-0.5058793527266356
clock__skew__worst_setup__corner:nom_ss_100C_1v60,0.33096767929741533
timing__hold__ws__corner:nom_ss_100C_1v60,0.928162906137635
timing__setup__ws__corner:nom_ss_100C_1v60,9.14808166223484
timing__hold__tns__corner:nom_ss_100C_1v60,0.0
timing__setup__tns__corner:nom_ss_100C_1v60,0.0
timing__hold__wns__corner:nom_ss_100C_1v60,0
timing__setup__wns__corner:nom_ss_100C_1v60,0.0
timing__hold_vio__count__corner:nom_ss_100C_1v60,0
timing__hold_r2r__ws__corner:nom_ss_100C_1v60,0.928163
timing__hold_r2r_vio__count__corner:nom_ss_100C_1v60,0
timing__setup_vio__count__corner:nom_ss_100C_1v60,0
timing__setup_r2r__ws__corner:nom_ss_100C_1v60,44.526367
timing__setup_r2r_vio__count__corner:nom_ss_100C_1v60,0
design__max_slew_violation__count__corner:nom_ff_n40C_1v95,0
design__max_fanout_violation__count__corner:nom_ff_n40C_1v95,1
design__max_cap_violation__count__corner:nom_ff_n40C_1v95,0
clock__skew__worst_hold__corner:nom_ff_n40C_1v95,-0.3526315728119252
clock__skew__worst_setup__corner:nom_ff_n40C_1v95,0.2872551722239067
timing__hold__ws__corner:nom_ff_n40C_1v95,0.11468298857391737
timing__setup__ws__corner:nom_ff_n40C_1v95,36.55112937995486
timing__hold__tns__corner:nom_ff_n40C_1v95,0.0
timing__setup__tns__corner:nom_ff_n40C_1v95,0.0
timing__hold__wns__corner:nom_ff_n40C_1v95,0
timing__setup__wns__corner:nom_ff_n40C_1v95,0.0
timing__hold_vio__count__corner:nom_ff_n40C_1v95,0
timing__hold_r2r__ws__corner:nom_ff_n40C_1v95,0.114683
timing__hold_r2r_vio__count__corner:nom_ff_n40C_1v95,0
timing__setup_vio__count__corner:nom_ff_n40C_1v95,0
timing__setup_r2r__ws__corner:nom_ff_n40C_1v95,54.524353
timing__setup_r2r_vio__count__corner:nom_ff_n40C_1v95,0
design__max_slew_violation__count,1377
design__max_fanout_violation__count,1
design__max_cap_violation__count,0
clock__skew__worst_hold,-0.3491293186705434
clock__skew__worst_setup,0.2830118164370522
timing__hold__ws,0.11208645440164029
timing__setup__ws,8.75338937221216
timing__hold__tns,0.0
timing__setup__tns,0.0
timing__hold__wns,0
timing__setup__wns,0.0
timing__hold_vio__count,0
timing__hold_r2r__ws,0.112086
timing__hold_r2r_vio__count,0
timing__setup_vio__count,0
timing__setup_r2r__ws,44.185040
timing__setup_r2r_vio__count,0
design__die__bbox,0.0 0.0 328.915 339.635
design__core__bbox,5.52 10.88 323.38 326.4
design__io,118
design__die__area,111711
design__core__area,100291
design__instance__count__stdcell,6914
design__instance__area__stdcell,59454.5
design__instance__count__macros,0
design__instance__area__macros,0
design__instance__count__padcells,0
design__instance__area__padcells,0
design__instance__count__cover,0
design__instance__area__cover,0
design__instance__utilization,0.592819
design__instance__utilization__stdcell,0.592819
design__rows,116
design__rows:unithd,116
design__sites,80156
design__sites:unithd,80156
design__instance__count__class:inverter,66
design__instance__area__class:inverter,247.738
design__instance__count__class:sequential_cell,147
design__instance__area__class:sequential_cell,3862.45
design__instance__count__class:multi_input_combinational_cell,4581
design__instance__area__class:multi_input_combinational_cell,46485.8
flow__warnings__count,1
flow__errors__count,0
flow__warnings__count:ODB-0220,2
flow__warnings__type_count,1
flow__warnings__count:ORD-0039,1
design__instance__count__class:fill_cell,12469
design__instance__area__class:fill_cell,40836.7
design__instance__count__class:tap_cell,1416
design__instance__area__class:tap_cell,1771.7
design__power_grid_violation__count__net:VPWR,0
design__power_grid_violation__count__net:VGND,0
design__power_grid_violation__count,0
floorplan__design__io,116
design__io__hpwl,8928052
timing__drv__floating__nets,2
timing__drv__floating__pins,0
design__instance__displacement__total,1841.99
design__instance__displacement__mean,0.257
design__instance__displacement__max,27.09
route__wirelength__estimated,133421
design__violations,0
design__instance__count__class:timing_repair_buffer,638
design__instance__area__class:timing_repair_buffer,5933.19
flow__warnings__count:RSZ-0020,1
flow__warnings__count:STA-1140,6
design__instance__count__class:clock_buffer,62
design__instance__area__class:clock_buffer,1143.6
design__instance__count__setup_buffer,0
design__instance__count__hold_buffer,130
global_route__vias,30
global_route__wirelength,218605
antenna__violating__nets,0
antenna__violating__pins,0
route__antenna_violation__count,0
antenna_diodes_count,4
route__net,5580
route__net__special,2
route__drc_errors__iter:0,24
route__wirelength__iter:0,139214
route__drc_errors__iter:1,5
route__wirelength__iter:1,139207
route__drc_errors__iter:2,3
route__wirelength__iter:2,139198
route__drc_errors__iter:3,0
route__wirelength__iter:3,139213
route__drc_errors__iter:4,0
route__wirelength__iter:4,139197
route__drc_errors,0
route__wirelength,139213
route__vias,37406
route__vias__singlecut,37406
route__vias__multicut,0
design__instance__count__class:antenna_cell,4
design__instance__area__class:antenna_cell,10.0096
flow__warnings__count:DRT-0349,10
design__disconnected_pin__count,0
design__critical_disconnected_pin__count,0
route__wirelength__max,642.29
timing__unannotated_net__count__corner:nom_tt_025C_1v80,13
timing__unannotated_net_filtered__count__corner:nom_tt_025C_1v80,0
timing__unannotated_net__count__corner:nom_ss_100C_1v60,13
timing__unannotated_net_filtered__count__corner:nom_ss_100C_1v60,0
timing__unannotated_net__count__corner:nom_ff_n40C_1v95,13
timing__unannotated_net_filtered__count__corner:nom_ff_n40C_1v95,0
